model,n,k,d,phase,mean_social_cost,max_regret,std_social_cost,min_social_cost,max_social_cost,duration,max_memory,metric
RegretNetSystem,5,4,1,test,0.05890274792909622,0.02400507591664791,0.03073927015066147,0.019082583487033844,0.1023172065615654,0.0921785831451416,0.1421015625,inf
RegretNetSystem,5,4,1,train,0.01964976079761982,0.0019209851743653417,0.031033668667078018,0.0013084282400086522,0.08107063174247742,507.53833055496216,0.158462890625,0.01964976079761982
RegretNetSystem,5,4,1,test,0.018904585391283035,0.001135166035965085,0.03180459141731262,0.000896442390512675,0.08214113861322403,0.08590435981750488,0.1421015625,0.018904585391283035
RegretNetSystem,5,4,1,train,0.019944317638874054,0.002212338615208864,0.030027275905013084,0.001420946093276143,0.0791516900062561,504.07435035705566,0.158462890625,0.019944317638874054
RegretNetSystem,5,4,1,test,0.018014226108789444,0.0009741622488945723,0.030478473752737045,0.0008304340299218893,0.07856546342372894,0.08523917198181152,0.1421015625,0.018014226108789444
RegretNetSystem,5,4,1,train,0.015967724844813347,0.005716848187148571,0.02206392213702202,0.001451657386496663,0.058709993958473206,492.41541385650635,0.158462890625,inf
RegretNetSystem,5,4,1,test,0.016755735501646996,0.0027300745714455843,0.02619064413011074,0.0012457100674510002,0.06854482740163803,0.07816720008850098,0.1421015625,0.016755735501646996
RegretNetSystem,5,3,1,train,0.039527539163827896,0.003246234729886055,0.04831530898809433,0.0029825440142303705,0.12697215378284454,512.2682387828827,0.1584560546875,inf
RegretNetSystem,5,3,1,test,0.036998432129621506,0.0022957483306527138,0.04671979695558548,0.0024728092830628157,0.12146127969026566,0.07898068428039551,0.1420966796875,0.036998432129621506
RegretNetSystem,5,3,1,train,0.03485517576336861,0.0011688499944284558,0.04820670560002327,0.001411783741787076,0.12342484295368195,492.62488293647766,0.1584560546875,0.03485517576336861
RegretNetSystem,5,3,1,test,0.034580934792757034,0.0015607551904395223,0.04634147509932518,0.002152905100956559,0.1198030561208725,0.0758366584777832,0.1420966796875,0.034580934792757034
RegretNetSystem,5,3,1,train,0.03525835648179054,0.0012737452052533627,1.0,0.0013742678565904498,0.12556931376457214,512.0175783634186,0.158453125,0.03525835648179054
RegretNetSystem,5,3,1,test,0.03455269709229469,0.0014125301968306303,1.0,0.0015523209003731608,0.12147187441587448,0.07643842697143555,0.1420966796875,0.03455269709229469
RegretNetSystem,5,3,1,train,0.039037469774484634,0.00514453649520874,1.0,0.0042164684273302555,0.12578605115413666,594.9521148204803,0.158453125,inf
RegretNetSystem,5,3,1,test,0.03482161462306976,0.0013279733248054981,1.0,0.001431909971870482,0.1213151216506958,0.08228921890258789,0.1420966796875,0.03482161462306976
RegretNetSystem,5,2,1,train,0.0867844820022583,0.0023191827349364758,1.0,0.005220174323767424,0.23332726955413818,561.2052376270294,0.15844921875,0.0867844820022583
RegretNetSystem,5,2,1,test,0.08480920642614365,0.0024611330591142178,1.0,0.006335906218737364,0.22294028103351593,0.07694840431213379,0.1420927734375,0.08480920642614365
